time,reanalysis,undownscaled.cesm2.ssp245,xgboost.cesm2.ssp245,cnn.cesm2.ssp245,nv.cesm2.ssp245,lstm.cesm2.ssp245,undownscaled.cesm2.ssp370,xgboost.cesm2.ssp370,cnn.cesm2.ssp370,nv.cesm2.ssp370,lstm.cesm2.ssp370,undownscaled.cesm2.ssp585,xgboost.cesm2.ssp585,cnn.cesm2.ssp585,nv.cesm2.ssp585,lstm.cesm2.ssp585,undownscaled.ec_earth3.ssp434,xgboost.ec_earth3.ssp434,cnn.ec_earth3.ssp434,nv.ec_earth3.ssp434,lstm.ec_earth3.ssp434,undownscaled.mri_esm2_0.ssp245,xgboost.mri_esm2_0.ssp245,cnn.mri_esm2_0.ssp245,nv.mri_esm2_0.ssp245,lstm.mri_esm2_0.ssp245,undownscaled.mri_esm2_0.ssp370,xgboost.mri_esm2_0.ssp370,cnn.mri_esm2_0.ssp370,nv.mri_esm2_0.ssp370,lstm.mri_esm2_0.ssp370,undownscaled.mri_esm2_0.ssp434,xgboost.mri_esm2_0.ssp434,cnn.mri_esm2_0.ssp434,nv.mri_esm2_0.ssp434,lstm.mri_esm2_0.ssp434
2015-01-29,44.498220210876426,44.101036,42.92437744140625,55.981021881103516,44.59752337289132,60.24168014526367,47.283737,53.62599182128906,54.2244987487793,56.267717693810425,57.993309020996094,57.157909999999994,79.53218841552734,78.91120910644531,100,32.5470085144043,54.586052000000024,73.975799560546875,58.38370132446289,54.38338740565263,67.44318389892578,10.125024,18.126298904418945,33.511470794677734,15.607744329530703,25.204830169677734,20.54653,62.72252655029297,79.56121826171875,54.91858338617925,54.52482223510742,10.8727045,17.070363998413086,29.592809677124023,1.416598449484752,38.26629638671875
2015-01-30,12.30538037421592,44.101036,30.625551223754883,59.12965393066406,43.10343745756285,66.74174499511719,47.283737,42.43471908569336,51.31029510498047,50.21068253901643,59.77873611450195,57.157909999999994,80.2609634399414,75.81495666503906,92.54630763866038,76.10179138183594,54.586052000000024,49.42014694213867,28.599672317504883,37.716047771851606,50.57756423950195,10.125024,8.07618522644043,31.445810317993164,0.11489889163379985,27.091156005859375,20.54653,61.55989456176758,71.79753112792969,46.53662694653934,65.601470947265625,10.8727045,12.792447090148926,22.124223709106445,0,29.19504165649414
2015-01-31,19.940288777325076,44.101036,29.730863571166992,47.18509292602539,29.146544480276077,55.43836975097656,47.283737,38.33549499511719,47.87539291381836,46.84504480842037,58.8034553527832,57.157909999999994,65.4508285522461,50.30927276611328,49.86803337048508,71.06996154785156,54.586052000000024,47.581520080566406,27.496768951416016,34.78484061305238,50.12135314941406,10.125024,15.764020919799805,32.61208724975586,2.3805512046982926,13.269234657287598,20.54653,13.61391830444336,23.215591430664062,3.8295823535026443,32.45516586303711,10.8727045,12.97025203704834,36.560428619384766,0,21.550485610961914
2015-02-01,25.18669571298018,53.994644,35.868072509765625,39.7416877746582,33.235540546725986,61.17839431762695,42.073692,35.439178466796875,36.06222915649414,49.14065350573395,58.04078674316406,43.93293400000001,26.624908447265625,28.922136306762695,23.480481305175942,64.942535400390625,54.797424,47.883506774902344,36.18696594238281,50.63465956239264,63.58369064331055,41.33008,39.71088409423828,55.9643669128418,41.828205443294735,20.02927017211914,44.96039,17.483076095581055,28.479248046875,27.62359726993776,22.66169548034668,32.172604,10.247252464294434,39.35285568237305,15.075966181133424,21.32012367248535
2015-02-02,36.51739508920624,53.994644,41.4622917175293,30.541452407836914,36.27070407053719,57.273433685302734,42.073692,25.144927978515625,29.784252166748047,44.42487157012687,55.41263198852539,43.93293400000001,13.301403999328613,22.227632522583008,30.447772767592994,55.50757598876953,54.797424,52.69522476196289,38.45427322387695,50.21542853060413,64.50675964355469,41.33008,66.65363311767578,74.93668365478516,67.1037033566335,55.88890075683594,44.96039,61.98031997680664,59.14674758911133,60.946867982007404,55.23445129394531,32.172604,14.646167755126953,37.06206130981445,25.47306066449704,20.063583374023438
2015-02-03,59.03645709577072,53.994644,22.026472091674805,33.22001266479492,31.757785191288292,38.42290496826172,42.073692,17.524526596069336,28.36849021911621,44.482575565090826,45.43012619018555,43.93293400000001,18.415124893188477,21.301809310913086,28.480963920179363,39.74739456176758,54.797424,44.58450698852539,35.03169631958008,41.25305299434143,57.10792922973633,41.33008,41.19081115722656,37.232418060302734,30.08617662960927,34.94988250732422,44.96039,33.27499771118164,36.64726638793945,28.26790392702418,58.03200149536133,32.172604,15.449995040893555,42.17763137817383,18.983067078219335,17.985977172851562
2015-02-04,58.34292004585597,53.994644,19.115337371826172,28.3049373626709,35.63786731010072,28.883953094482422,42.073692,12.780460357666016,24.747304916381836,31.581536322659247,32.83481979370117,43.93293400000001,25.9872989654541,32.410545349121094,41.58522069844361,42.1266975402832,54.797424,27.581829071044922,30.083391189575195,44.17816416836462,50.10398483276367,41.33008,29.757522583007812,38.90669250488281,29.524063883540236,22.983356475830078,44.96039,5.0144758224487305,13.020962715148926,1.1862089778023233,29.628280639648438,32.172604,10.01175594329834,37.37522506713867,21.68009468818667,14.060752868652344
2015-02-05,23.77202943191834,53.994644,29.259157180786133,38.36324691772461,56.14538848664773,34.22820281982422,42.073692,17.681188583374023,20.28875732421875,27.764550940815695,26.235719680786133,43.93293400000001,67.16120147705078,63.618377685546875,66.6680421370965,59.12003707885742,54.797424,47.56715774536133,41.353145599365234,53.47995154004997,48.46501541137695,41.33008,34.67825698852539,39.99668502807617,36.08446849886781,27.692035675048828,44.96039,5.912978172302246,16.836889266967773,17.828076302770512,14.533475875854492,32.172604,11.213577270507812,46.41531753540039,31.0288765911518,13.132942199707031
2015-02-06,22.063443620674327,53.994644,63.33192443847656,64.03253173828125,83.3381177509927,60.08324432373047,42.073692,25.068405151367188,26.7509822845459,26.30013167192186,30.20830726623535,43.93293400000001,73.96300506591797,69.75352478027344,66.22647363467507,62.25468063354492,54.797424,46.47690963745117,50.04697036743164,55.770150974951264,45.805999755859375,41.33008,16.80742645263672,28.224775314331055,23.78141391276398,14.400557518005371,44.96039,13.686711311340332,28.66123390197754,30.849035188546566,19.951065063476562,32.172604,9.67342472076416,40.72385025024414,34.447605611543565,16.401973724365234
2015-02-07,19.071465872398225,53.994644,89.77818298339844,100,100,87.13531494140625,42.073692,14.321341514587402,28.287691116333008,29.44330254087066,40.26845169067383,43.93293400000001,49.025238037109375,53.2769889831543,49.42123903854184,57.49517059326172,54.797424,44.413543701171875,48.19137191772461,60.83608145136344,43.940940856933594,41.33008,21.153736114501953,33.82414627075195,35.25336922078526,13.187311172485352,44.96039,63.27730941772461,84.185791015625,73.38202587326481,58.62974166870117,32.172604,15.593918800354004,46.275875091552734,37.11198450050682,20.30825424194336
2015-02-08,21.993671551398187,53.994644,68.93109130859375,100,100,81.71441650390625,42.073692,17.79574203491211,19.823339462280273,36.749983628242205,41.00931167602539,43.93293400000001,40.455902099609375,44.57656478881836,56.24380703307355,53.717769622802734,54.797424,58.2850227355957,56.09296798706055,67.71028285586175,46.52799606323242,41.33008,24.955123901367188,27.948732376098633,46.47645291787006,16.496105194091797,44.96039,82.4779052734375,99.89006042480469,98.20522135035384,80.85443115234375,32.172604,17.507461547851562,50.673851013183594,40.37780561011999,22.522724151611328
2015-02-09,29.505665993069282,53.994644,11.194257736206055,27.796279907226562,37.06933603214378,42.40090560913086,42.073692,37.516571044921875,23.35390853881836,36.94315001054741,30.754501342773438,43.93293400000001,36.90005874633789,35.51014709472656,48.97087231675499,49.152156829833984,54.797424,49.618255615234375,54.13825607299805,71.24313695070117,49.46236038208008,41.33008,24.576343536376953,43.78872299194336,53.57822977021527,25.47926902770996,44.96039,62.25747299194336,67.118011474609375,50.821539074522605,57.21901321411133,32.172604,19.874948501586914,49.301353454589844,39.51167870653984,25.90449333190918
