time,daylight_seconds
1980-11-15,49500
1980-11-16,49620
1980-11-17,49680
1980-11-18,49800
1980-11-19,49860
1980-11-20,49980
1980-11-21,49980
1980-11-22,50040
1980-11-23,50160
1980-11-24,50220
1980-11-25,50280
1980-11-26,50400
1980-11-27,50460
1980-11-28,50520
1980-11-29,50580
1980-11-30,50580
1980-12-01,50700
1980-12-02,50760
1980-12-03,50820
1980-12-04,50880
1980-12-05,50940
1980-12-06,50940
1980-12-07,51000
1980-12-08,51060
1980-12-09,51060
1980-12-10,51060
1980-12-11,51120
1980-12-12,51180
1980-12-13,51240
1980-12-14,51180
1980-12-15,51240
1980-12-16,51240
1980-12-17,51240
1980-12-18,51300
1980-12-19,51240
1980-12-20,51300
1980-12-21,51300
1980-12-22,51300
1980-12-23,51240
1980-12-24,51300
1980-12-25,51240
1980-12-26,51240
1980-12-27,51240
1980-12-28,51240
1980-12-29,51180
1980-12-30,51180
1980-12-31,51120
1981-01-01,51120
1981-01-02,51060
1981-01-03,51000
1981-01-04,50940
1981-01-05,51000
1981-01-06,50940
1981-01-07,50880
1981-01-08,50820
1981-01-09,50760
1981-01-10,50700
1981-01-11,50640
1981-01-12,50580
1981-01-13,50520
1981-01-14,50460
1981-01-15,50400
1981-01-16,50340
1981-01-17,50220
1981-01-18,50160
1981-01-19,50100
1981-01-20,49980
1981-01-21,49920
1981-01-22,49800
1981-01-23,49740
1981-01-24,49740
1981-01-25,49620
1981-01-26,49500
1981-01-27,49440
1981-01-28,49320
1981-01-29,49260
1981-01-30,49140
1981-01-31,49020
1981-02-01,48960
1981-02-02,48840
1981-02-03,48720
1981-02-04,48660
1981-02-05,48540
1981-02-06,48420
1981-02-07,48300
1981-02-08,48180
1981-02-09,48060
1981-02-10,48000
1981-02-11,47940
1981-02-12,47820
1981-02-13,47700
1981-02-14,47580
1981-02-15,47460
1981-02-16,47340
1981-02-17,47220
1981-02-18,47100
1981-02-19,46980
1981-02-20,46920
1981-02-21,46800
1981-02-22,46620
1981-02-23,46500
1981-02-24,46380
1981-02-25,46260
1981-02-26,46200
1981-02-27,46080
1981-02-28,45960
1981-03-01,45780
1981-03-02,45660
1981-03-03,45600
1981-03-04,45480
1981-03-05,45360
1981-03-06,45180
1981-03-07,45120
1981-03-08,45000
1981-03-09,44880
1981-03-10,44700
1981-03-11,44580
1981-03-12,44520
1981-03-13,44340
1981-03-14,44220
1981-03-15,44160
1981-03-16,44040
1981-03-17,43860
1981-03-18,43740
1981-03-19,43680
1981-03-20,43500
1981-03-21,43380
1981-03-22,43320
1981-03-23,43140
1981-03-24,43020
1981-03-25,42900
1981-03-26,42840
1981-03-27,42660
1981-03-28,42540
1981-03-29,42480
1981-03-30,42300
1981-03-31,42180
1981-04-01,42120
1981-04-02,42000
1981-04-03,41820
1981-04-04,41760
1981-04-05,41640
1981-04-06,41460
1981-04-07,41340
1981-04-08,41280
1981-04-09,41160
1981-04-10,40980
1981-04-11,40920
1981-04-12,40800
1981-04-13,40680
1981-04-14,40620
1981-04-15,40440
1981-04-16,40320
1981-04-17,40260
1981-04-18,40140
1981-04-19,40020
1981-04-20,39900
1981-04-21,39840
1981-04-22,39720
1981-04-23,39540
1981-04-24,39480
1981-04-25,39360
1981-04-26,39240
1981-04-27,39120
1981-04-28,39060
1981-04-29,38940
1981-04-30,38820
1981-05-01,38760
1981-05-02,38640
1981-05-03,38520
1981-05-04,38520
1981-05-05,38400
1981-05-06,38280
1981-05-07,38160
1981-05-08,38100
1981-05-09,37980
1981-05-10,37920
1981-05-11,37860
1981-05-12,37740
1981-05-13,37620
1981-05-14,37560
1981-05-15,37500
1981-05-16,37380
1981-05-17,37320
1981-05-18,37260
1981-05-19,37200
1981-05-20,37080
1981-05-21,37020
1981-05-22,36960
1981-05-23,36840
1981-05-24,36840
1981-05-25,36780
1981-05-26,36660
1981-05-27,36660
1981-05-28,36540
1981-05-29,36540
1981-05-30,36480
1981-05-31,36420
1981-06-01,36360
1981-06-02,36300
1981-06-03,36300
1981-06-04,36240
1981-06-05,36180
1981-06-06,36120
1981-06-07,36120
1981-06-08,36060
1981-06-09,36060
1981-06-10,36000
1981-06-11,36000
1981-06-12,36000
1981-06-13,35940
1981-06-14,35940
1981-06-15,35880
1981-06-16,35880
1981-06-17,35880
1981-06-18,35940
1981-06-19,35880
1981-06-20,35880
1981-06-21,35880
1981-06-22,35880
1981-06-23,35880
1981-06-24,35880
1981-06-25,35880
1981-06-26,35940
1981-06-27,35940
1981-06-28,35940
1981-06-29,36000
1981-06-30,36000
1981-07-01,36000
1981-07-02,36060
1981-07-03,36060
1981-07-04,36120
1981-07-05,36120
1981-07-06,36180
1981-07-07,36180
1981-07-08,36240
1981-07-09,36300
1981-07-10,36360
1981-07-11,36360
1981-07-12,36420
1981-07-13,36480
1981-07-14,36540
1981-07-15,36540
1981-07-16,36660
1981-07-17,36720
1981-07-18,36780
1981-07-19,36840
1981-07-20,36900
1981-07-21,36960
1981-07-22,37080
1981-07-23,37080
1981-07-24,37200
1981-07-25,37260
1981-07-26,37320
1981-07-27,37440
1981-07-28,37500
1981-07-29,37560
1981-07-30,37680
1981-07-31,37800
1981-08-01,37800
1981-08-02,37920
1981-08-03,38040
1981-08-04,38100
1981-08-05,38220
1981-08-06,38340
1981-08-07,38340
1981-08-08,38460
1981-08-09,38520
1981-08-10,38640
1981-08-11,38760
1981-08-12,38820
1981-08-13,38940
1981-08-14,39060
1981-08-15,39120
1981-08-16,39240
1981-08-17,39360
1981-08-18,39420
1981-08-19,39600
1981-08-20,39720
1981-08-21,39780
1981-08-22,39900
1981-08-23,40020
1981-08-24,40080
1981-08-25,40200
1981-08-26,40380
1981-08-27,40440
1981-08-28,40560
1981-08-29,40620
1981-08-30,40800
1981-08-31,40920
1981-09-01,40980
1981-09-02,41100
1981-09-03,41280
1981-09-04,41340
1981-09-05,41460
1981-09-06,41520
1981-09-07,41700
1981-09-08,41820
1981-09-09,41880
1981-09-10,42060
1981-09-11,42180
1981-09-12,42240
1981-09-13,42420
1981-09-14,42480
1981-09-15,42600
1981-09-16,42780
1981-09-17,42840
1981-09-18,42960
1981-09-19,43140
1981-09-20,43200
1981-09-21,43320
1981-09-22,43500
1981-09-23,43560
1981-09-24,43680
1981-09-25,43800
1981-09-26,43920
1981-09-27,44040
1981-09-28,44160
1981-09-29,44280
1981-09-30,44400
1981-10-01,44520
1981-10-02,44640
1981-10-03,44760
1981-10-04,44940
1981-10-05,45000
1981-10-06,45120
1981-10-07,45240
1981-10-08,45360
1981-10-09,45480
1981-10-10,45600
1981-10-11,45720
1981-10-12,45840
1981-10-13,45960
1981-10-14,46080
1981-10-15,46140
1981-10-16,46320
1981-10-17,46440
1981-10-18,46560
1981-10-19,46620
1981-10-20,46740
1981-10-21,46860
1981-10-22,46980
1981-10-23,47160
1981-10-24,47220
1981-10-25,47340
1981-10-26,47460
1981-10-27,47580
1981-10-28,47700
1981-10-29,47820
1981-10-30,47940
1981-10-31,48000
1981-11-01,48060
1981-11-02,48180
1981-11-03,48300
1981-11-04,48420
1981-11-05,48540
1981-11-06,48660
1981-11-07,48780
1981-11-08,48780
1981-11-09,48900
