time,pr_daily,pr
2000-01-05 13:00:00,0.6522751,0.019613221
2000-01-05 14:00:00,0.6522751,0.023062114
2000-01-05 15:00:00,0.6522751,0.02741871
2000-01-05 16:00:00,0.6522751,0.029460322
2000-01-05 17:00:00,0.6522751,0.031639785
2000-01-05 18:00:00,0.6522751,0.032249335
2000-01-05 19:00:00,0.6522751,0.0330671
2000-01-05 20:00:00,0.6522751,0.043908954
2000-01-05 21:00:00,0.6522751,0.059395418
2000-01-05 22:00:00,0.6522751,0.104747474
2000-01-05 23:00:00,0.6522751,0.10777284
2000-01-06 00:00:00,0.53741366,0.1100963
2000-01-06 01:00:00,0.53741366,0.0
2000-01-06 02:00:00,0.53741366,0.0
2000-01-06 03:00:00,0.53741366,0.0
2000-01-06 04:00:00,0.53741366,0.0
2000-01-06 05:00:00,0.53741366,4.188344e-05
2000-01-06 06:00:00,0.53741366,0.00013423711
2000-01-06 07:00:00,0.53741366,0.00035224482
2000-01-06 08:00:00,0.53741366,0.0006256178
2000-01-06 09:00:00,0.53741366,0.0009568669
2000-01-06 10:00:00,0.53741366,0.0017695278
2000-01-06 11:00:00,0.53741366,0.0020281076
2000-01-06 12:00:00,0.53741366,0.0020724349
2000-01-06 13:00:00,0.53741366,0.0022965968
2000-01-06 14:00:00,0.53741366,0.0036203265
2000-01-06 15:00:00,0.53741366,0.0043752044
2000-01-06 16:00:00,0.53741366,0.004851736
2000-01-06 17:00:00,0.53741366,0.0054440014
2000-01-06 18:00:00,0.53741366,0.0084410645
2000-01-06 19:00:00,0.53741366,0.038809177
2000-01-06 20:00:00,0.53741366,0.07368271
2000-01-06 21:00:00,0.53741366,0.08507858
2000-01-06 22:00:00,0.53741366,0.0961481
2000-01-06 23:00:00,0.53741366,0.096588925
2000-01-07 00:00:00,0.17603734,0.096588925
2000-01-07 01:00:00,0.17603734,0.0
2000-01-07 02:00:00,0.17603734,0.0
2000-01-07 03:00:00,0.17603734,0.0
2000-01-07 04:00:00,0.17603734,0.0
2000-01-07 05:00:00,0.17603734,0.0
2000-01-07 06:00:00,0.17603734,4.9322844e-06
2000-01-07 07:00:00,0.17603734,5.5469573e-05
2000-01-07 08:00:00,0.17603734,0.00022053346
2000-01-07 09:00:00,0.17603734,0.0008289963
2000-01-07 10:00:00,0.17603734,0.0019509308
2000-01-07 11:00:00,0.17603734,0.0026331395
2000-01-07 12:00:00,0.17603734,0.0031824373
2000-01-07 13:00:00,0.17603734,0.0059131943
2000-01-07 14:00:00,0.17603734,0.0059131943
2000-01-07 15:00:00,0.17603734,0.005935345
2000-01-07 16:00:00,0.17603734,0.0063712
2000-01-07 17:00:00,0.17603734,0.0065004677
2000-01-07 18:00:00,0.17603734,0.0065115653
2000-01-07 19:00:00,0.17603734,0.0065127946
2000-01-07 20:00:00,0.17603734,0.0065300167
2000-01-07 21:00:00,0.17603734,0.006578032
2000-01-07 22:00:00,0.17603734,0.006903086
2000-01-07 23:00:00,0.17603734,0.006903086
2000-01-08 00:00:00,4.070135,0.006903086
2000-01-08 01:00:00,4.070135,0.0
2000-01-08 02:00:00,4.070135,0.0
2000-01-08 03:00:00,4.070135,0.0
2000-01-08 04:00:00,4.070135,8.620322e-06
2000-01-08 05:00:00,4.070135,9.1116875e-05
2000-01-08 06:00:00,4.070135,0.0073411427
2000-01-08 07:00:00,4.070135,0.008017253
2000-01-08 08:00:00,4.070135,0.011772942
2000-01-08 09:00:00,4.070135,0.015181281
2000-01-08 10:00:00,4.070135,0.017454468
2000-01-08 11:00:00,4.070135,0.019308865
2000-01-08 12:00:00,4.070135,0.020207718
2000-01-08 13:00:00,4.070135,0.02155723
2000-01-08 14:00:00,4.070135,0.02265558
2000-01-08 15:00:00,4.070135,0.03621493
2000-01-08 16:00:00,4.070135,0.061193585
2000-01-08 17:00:00,4.070135,0.10548301
2000-01-08 18:00:00,4.070135,0.20396276
2000-01-08 19:00:00,4.070135,0.4862932
2000-01-08 20:00:00,4.070135,0.6216901
2000-01-08 21:00:00,4.070135,0.76056445
2000-01-08 22:00:00,4.070135,0.8105049
2000-01-08 23:00:00,4.070135,0.83372885
2000-01-09 00:00:00,30.159836,0.83594763
2000-01-09 01:00:00,30.159836,0.00012314692
2000-01-09 02:00:00,30.159836,0.00013423339
2000-01-09 03:00:00,30.159836,0.00023154914
2000-01-09 04:00:00,30.159836,0.0008633733
2000-01-09 05:00:00,30.159836,0.0026943833
2000-01-09 06:00:00,30.159836,0.006796021
2000-01-09 07:00:00,30.159836,0.026183158
2000-01-09 08:00:00,30.159836,0.06676994
2000-01-09 09:00:00,30.159836,0.11216751
2000-01-09 10:00:00,30.159836,0.15192571
2000-01-09 11:00:00,30.159836,0.16291152
2000-01-09 12:00:00,30.159836,0.171298
2000-01-09 13:00:00,30.159836,0.18428025
2000-01-09 14:00:00,30.159836,0.279768
2000-01-09 15:00:00,30.159836,0.4196888
2000-01-09 16:00:00,30.159836,0.5664162
2000-01-09 17:00:00,30.159836,0.72243917
2000-01-09 18:00:00,30.159836,1.184696
2000-01-09 19:00:00,30.159836,2.104916
2000-01-09 20:00:00,30.159836,3.51553
2000-01-09 21:00:00,30.159836,4.9351387
2000-01-09 22:00:00,30.159836,6.5966787
2000-01-09 23:00:00,30.159836,8.112239
2000-01-10 00:00:00,190.18639,8.800896
2000-01-10 01:00:00,190.18639,0.29405412
2000-01-10 02:00:00,190.18639,0.38756663
2000-01-10 03:00:00,190.18639,0.39329728
2000-01-10 04:00:00,190.18639,0.39548415
2000-01-10 05:00:00,190.18639,0.45870623
2000-01-10 06:00:00,190.18639,0.6522327
2000-01-10 07:00:00,190.18639,0.9767223
2000-01-10 08:00:00,190.18639,1.3963559
2000-01-10 09:00:00,190.18639,1.9661219
2000-01-10 10:00:00,190.18639,2.68463
2000-01-10 11:00:00,190.18639,3.5430193
2000-01-10 12:00:00,190.18639,4.7243495
2000-01-10 13:00:00,190.18639,6.08794
2000-01-10 14:00:00,190.18639,7.7812223
2000-01-10 15:00:00,190.18639,9.599295
2000-01-10 16:00:00,190.18639,11.847967
2000-01-10 17:00:00,190.18639,14.356705
2000-01-10 18:00:00,190.18639,17.356215
2000-01-10 19:00:00,190.18639,18.233934
2000-01-10 20:00:00,190.18639,18.922848
2000-01-10 21:00:00,190.18639,19.476883
2000-01-10 22:00:00,190.18639,19.852863
2000-01-10 23:00:00,190.18639,19.99708
2000-01-11 00:00:00,73.32561,20.087908
2000-01-11 01:00:00,73.32561,0.11208237
2000-01-11 02:00:00,73.32561,0.3499794
2000-01-11 03:00:00,73.32561,0.62330145
2000-01-11 04:00:00,73.32561,0.96194506
2000-01-11 05:00:00,73.32561,1.2373111
2000-01-11 06:00:00,73.32561,1.4308228
2000-01-11 07:00:00,73.32561,1.4789529
2000-01-11 08:00:00,73.32561,1.5172272
2000-01-11 09:00:00,73.32561,1.5671659
2000-01-11 10:00:00,73.32561,1.7313695
2000-01-11 11:00:00,73.32561,1.8509073
2000-01-11 12:00:00,73.32561,1.9506491
2000-01-11 13:00:00,73.32561,2.0596714
2000-01-11 14:00:00,73.32561,2.263744
2000-01-11 15:00:00,73.32561,2.5117736
2000-01-11 16:00:00,73.32561,2.840201
2000-01-11 17:00:00,73.32561,3.2931085
2000-01-11 18:00:00,73.32561,3.8102956
2000-01-11 19:00:00,73.32561,4.0308247
2000-01-11 20:00:00,73.32561,4.232612
2000-01-11 21:00:00,73.32561,4.413981
2000-01-11 22:00:00,73.32561,4.480048
2000-01-11 23:00:00,73.32561,4.489722
2000-01-12 00:00:00,74.1311,4.4934993
2000-01-12 01:00:00,74.1311,5.0555915e-05
2000-01-12 02:00:00,74.1311,5.0555915e-05
2000-01-12 03:00:00,74.1311,5.0555915e-05
2000-01-12 04:00:00,74.1311,5.0555915e-05
2000-01-12 05:00:00,74.1311,5.0555915e-05
2000-01-12 06:00:00,74.1311,0.0012621842
2000-01-12 07:00:00,74.1311,0.017635047
2000-01-12 08:00:00,74.1311,0.0303041
2000-01-12 09:00:00,74.1311,0.037114505
2000-01-12 10:00:00,74.1311,0.0705498
2000-01-12 11:00:00,74.1311,0.23178746
2000-01-12 12:00:00,74.1311,0.90097016
2000-01-12 13:00:00,74.1311,1.9097937
2000-01-12 14:00:00,74.1311,3.2400386
2000-01-12 15:00:00,74.1311,4.353301
2000-01-12 16:00:00,74.1311,5.0459757
2000-01-12 17:00:00,74.1311,5.7532425
2000-01-12 18:00:00,74.1311,6.469817
2000-01-12 19:00:00,74.1311,7.159316
2000-01-12 20:00:00,74.1311,7.9967327
2000-01-12 21:00:00,74.1311,8.617395
2000-01-12 22:00:00,74.1311,8.851966
2000-01-12 23:00:00,74.1311,8.9501505
2000-01-13 00:00:00,79.19231,8.989706
2000-01-13 01:00:00,79.19231,0.016577292
2000-01-13 02:00:00,79.19231,0.026116326
2000-01-13 03:00:00,79.19231,0.035406668
2000-01-13 04:00:00,79.19231,0.08382219
2000-01-13 05:00:00,79.19231,0.12109175
2000-01-13 06:00:00,79.19231,0.14151563
2000-01-13 07:00:00,79.19231,0.6419523
2000-01-13 08:00:00,79.19231,1.1392502
2000-01-13 09:00:00,79.19231,1.5359874
2000-01-13 10:00:00,79.19231,1.8883798
