time,reanalysis,xgboost,cnn,naive,lstm
2015-01-29,328.33885676222576,291.1627197265625,252.72128295898438,277.5719629664893,236.4530029296875
2015-01-30,350.34423520266904,335.8401794433594,306.8605041503906,300.54385627237775,315.969482421875
2015-01-31,307.5018314192849,316.70440673828125,289.5778503417969,302.9447368148742,307.9445495605469
2015-02-01,289.9732512453639,286.7576599121094,259.6571044921875,296.4558938102457,291.2767333984375
2015-02-02,276.3078030943496,289.95355224609375,255.1669464111328,273.72884236830055,274.4053649902344
2015-02-03,259.32414589187545,263.949951171875,231.00357055664062,260.1888291872094,260.584716796875
2015-02-04,235.88540596513553,244.7551727294922,219.35653686523438,248.70543681326512,246.17970275878906
2015-02-05,301.66801968735484,275.31854248046875,251.4938507080078,275.17172526432137,268.26226806640625
2015-02-06,294.783761009361,297.0419006347656,266.97381591796875,286.91196559590776,291.3302001953125
2015-02-07,317.278627113106,328.3966979980469,287.7809753417969,304.9499431589886,320.6629638671875
2015-02-08,316.3974152562096,311.4420166015625,283.1836853027344,292.3578939418096,322.74249267578125
2015-02-09,303.51588637465824,310.88690185546875,290.82135009765625,283.2341053502971,299.8380432128906
2015-02-10,170.76891477182178,221.21902465820312,193.02284240722656,242.89795132260429,213.45077514648438
2015-02-11,270.9659386931274,254.60496520996094,254.69927978515625,303.4156388598551,260.59588623046875
2015-02-12,299.0006156414269,282.29925537109375,282.28668212890625,295.2922545172371,305.89276123046875
2015-02-13,320.1024748697312,276.9521484375,288.8421325683594,312.71321454249505,316.6670227050781
2015-02-14,300.39185809328904,296.7065124511719,278.3849182128906,312.2394369616434,313.88031005859375
2015-02-15,245.76748262566855,269.8008117675781,262.4859619140625,297.6895648880984,284.6907958984375
2015-02-16,255.41762068249955,254.3288116455078,243.39649963378906,271.8652677022603,269.84613037109375
2015-02-17,298.93362017346243,270.26068115234375,254.06935119628906,263.1740606825299,273.5244140625
2015-02-18,267.162726439549,237.1222381591797,221.5299835205078,237.23581683347788,228.35511779785156
2015-02-19,159.83886468210974,174.74176025390625,138.06663513183594,192.38687621148733,165.0054931640625
2015-02-20,237.50020116138424,248.4689483642578,229.88876342773438,270.3564145474086,244.14059448242188
2015-02-21,228.25781529977584,244.2793731689453,219.09072875976562,265.28876648928076,258.125732421875
2015-02-22,253.73672746450208,233.12509155273438,193.7686309814453,242.51854867570387,231.07952880859375
2015-02-23,252.7661047584653,232.0736541748047,229.46971130371094,237.75112109005045,249.94361877441406
2015-02-24,280.19459141171814,261.4591064453125,250.4910430908203,249.20934716813122,270.1210021972656
2015-02-25,167.181158857418,193.84115600585938,166.22113037109375,195.62794671059987,191.2263946533203
2015-02-26,144.4956532952702,148.65489196777344,119.4639663696289,150.4823932157035,149.28759765625
2015-02-27,238.10316591285604,272.6119689941406,214.62969970703125,232.9507991874691,241.0271759033203
2015-02-28,291.02813417943554,298.4107360839844,261.37384033203125,265.0749875126078,287.5169677734375
2015-03-01,239.17776219482133,235.6411590576172,224.00192260742188,243.4101622849583,242.4945831298828
2015-03-02,169.05677297517295,178.52610778808594,149.88235473632812,180.30093798351007,175.08103942871094
2015-03-03,192.0520581357088,206.3376922607422,154.7755126953125,201.16019141409814,185.49972534179688
2015-03-04,164.33458272139964,167.25437927246094,144.6568603515625,163.4291665742683,153.3136749267578
2015-03-05,236.57939503000912,242.5252685546875,239.77947998046875,269.6168152326598,250.6883544921875
