time,reanalysis,xgboost,cnn,naive,lstm
2015-01-29,44.49822021087643,64.97935485839844,70.56140899658203,52.966071594486436,63.53595733642578
2015-01-30,12.30538037421592,16.98526382446289,43.87938690185547,29.374945276193046,21.187423706054688
2015-01-31,19.940288777325076,30.94084358215332,31.691974639892578,27.345208954184216,26.5361270904541
2015-02-01,25.18669571298018,38.834266662597656,41.8326416015625,29.734715226995775,28.861875534057617
2015-02-02,36.51739508920624,39.839298248291016,37.29499053955078,42.50820568006196,41.23600769042969
2015-02-03,59.03645709577072,48.14999008178711,66.870147705078125,47.79732498153493,56.745399475097656
2015-02-04,58.342920045855976,56.961246490478516,56.578468322753906,54.849861850279865,57.956844329833984
2015-02-05,23.77202943191834,47.17242431640625,44.91026306152344,45.68598243625996,39.25458526611328
2015-02-06,22.063443620674324,37.496376037597656,35.952938079833984,37.447306207503004,28.50972557067871
2015-02-07,19.071465872398225,19.73209571838379,24.82277488708496,24.821625604343296,15.781912803649902
2015-02-08,21.99367155139819,19.169958114624023,30.48343276977539,37.12379120948566,17.449153900146484
2015-02-09,29.505665993069282,26.897750854492188,41.72785568237305,37.110150585545796,37.433712005615234
2015-02-10,73.31755538649013,62.838134765625,70.68519592285156,50.372766569076646,73.28515625
2015-02-11,42.959652461537,55.71685791015625,39.677894592285156,21.35210370634553,50.70348358154297
2015-02-12,19.80613644549371,35.066307067871094,31.178730010986328,26.68622262929233,21.697189331054688
2015-02-13,19.462711867691034,33.40496826171875,29.169723510742188,19.940361799986874,27.55854606628418
2015-02-14,24.25866999275053,25.798046112060547,26.574264526367188,13.149510936853346,30.166675567626953
2015-02-15,46.11918083679638,36.42721176147461,33.68738555908203,25.871626516685808,41.365074157714844
2015-02-16,68.26750983813075,38.60260772705078,38.82130432128906,34.3351564223139,42.003501892089844
2015-02-17,19.494073021250163,35.31755828857422,34.49252700805664,39.8610754040364,34.40069580078125
2015-02-18,45.30248773246194,54.37385559082031,46.28556823730469,50.45515927823175,58.65776062011719
2015-02-19,77.96195107323852,77.084075927734375,65.82437896728516,59.03229144757819,74.11235809326172
2015-02-20,48.89964016674986,45.20964431762695,44.204803466796875,33.33710287318712,46.97151565551758
2015-02-21,49.403810003393424,41.880428314208984,43.39927673339844,33.30604702776503,40.386131286621094
2015-02-22,34.05422277253263,50.381351470947266,46.09516906738281,44.30678224969046,54.85679626464844
2015-02-23,27.59656615508629,47.69602966308594,41.50605392456055,48.051312359433666,47.297210693359375
2015-02-24,15.932706628600299,43.41823959350586,40.168357849121094,45.580732118347385,37.40716552734375
2015-02-25,76.5512641274395,72.85836029052734,78.43775939941406,64.66066637211219,69.263153076171875
2015-02-26,92.50100870057229,80.25846099853516,94.9746322631836,74.75536145681139,75.70990753173828
2015-02-27,42.8015015577999,39.09967803955078,51.582359313964844,45.8655078755782,44.60017395019531
2015-02-28,25.244671229495665,18.74291229248047,26.031681060791016,25.369093230905435,20.220415115356445
2015-03-01,66.97252977356132,46.24277877807617,48.13677215576172,41.33150555780543,44.600494384765625
2015-03-02,66.25809376543357,70.73209381103516,89.5899658203125,66.73464246947282,73.2829818725586
2015-03-03,63.944922938376614,66.8275146484375,79.12818908691406,58.164980888948264,72.01026153564453
2015-03-04,79.52966577604546,76.35164642333984,73.71710205078125,66.37253369458944,71.0031967163086
2015-03-05,43.89296510978716,38.51966094970703,48.94837188720703,27.302482337155595,33.1004638671875
