"Metric","lstm","naive","xgboost","cnn","sce"
"diff_of_means",0.500030612423987,0.717607280067615,0.758458710557815,-1.62885835868671,"cesm2_ssp370"
"ratio_of_sd",0.961957792689205,0.908884011415065,0.899153921760589,0.977504512107844,"cesm2_ssp370"
"amplitude_ratio_of_means",0.779192480728264,0.640868305446116,0.609122757331586,0.81658210877724,"cesm2_ssp370"
"maximum_error",0.176049908703591,0.174376141205113,0.152160681679854,0.212568472306756,"cesm2_ssp370"
"ks_mean_on_coarse_res_with_extremes",0.109191462132639,0.244992193908601,0.324221779107122,0.175085486733325,"cesm2_ssp370"
"qqplot_mae",0.0716983474388532,0.115347637546447,0.106269977516152,0.0786958914089534,"cesm2_ssp370"
"acf_mae",0.0872557743350853,0.117521988950494,0.13045434993907,0.0791501931347463,"cesm2_ssp370"
"extremogram_mae",0.0126356015779093,0.0435421949845027,0.041217596506058,0.0152067483798253,"cesm2_ssp370"
