"Metric","cnn","lstm","xgboost","naive","sce"
"diff_of_means",-0.885296232758664,1.37252441319072,1.64883486145058,1.68502858204809,"cesm2_ssp585"
"ratio_of_sd",0.96920437178656,0.955259216903493,0.89119027491687,0.897455141357549,"cesm2_ssp585"
"amplitude_ratio_of_means",0.828928022613235,0.786302129665681,0.609870646119269,0.64283506952755,"cesm2_ssp585"
"maximum_error",0.217741935483871,0.173006695069994,0.14592209373098,0.162507608034084,"cesm2_ssp585"
"ks_mean_on_coarse_res_with_extremes",0.150687547746371,0.126185958254269,0.310457516339868,0.278795671273973,"cesm2_ssp585"
"qqplot_mae",0.0615824690642805,0.06778323191571,0.107005572846002,0.117682526744775,"cesm2_ssp585"
"acf_mae",0.0683469523868531,0.0750855517625691,0.122307779116653,0.11087544163844,"cesm2_ssp585"
"extremogram_mae",0.0373432657086503,0.0412352071005917,0.0710147224570301,0.0662334460411383,"cesm2_ssp585"
