"Metric","cnn","xgboost","naive","lstm","sce"
"diff_of_means",32.7527161722635,36.0217990019193,36.479394003631,38.6674934438629,"mri_esm2_0_ssp245"
"ratio_of_sd",0.64121747079789,0.546356277851883,0.609916286355876,0.670726974781229,"mri_esm2_0_ssp245"
"amplitude_ratio_of_means",0.645408061450953,0.367623171312639,0.521899186526033,0.606664372519027,"mri_esm2_0_ssp245"
"maximum_error",0.16631162507608,0.268867924528302,0.23919659160073,0.195678636640292,"mri_esm2_0_ssp245"
"ks_mean_on_coarse_res_with_extremes",0.0620915032679739,0.373284313725489,0.232833957553058,0.0401675233200076,"mri_esm2_0_ssp245"
"qqplot_mae",1.29491818951726,1.42478651760474,1.44225689831095,1.52876605226091,"mri_esm2_0_ssp245"
"acf_mae",0.0307884422807462,0.127856701603418,0.0840080972196943,0.0488904082033413,"mri_esm2_0_ssp245"
"extremogram_mae",0.0274549168779938,0.0453384756269372,0.0257731051000282,0.00925436742744435,"mri_esm2_0_ssp245"
