"Metric","cnn","naive","xgboost","lstm","sce"
"diff_of_means",-0.431146049131634,-0.508970520803153,-0.528353532960232,-0.621452130788453,"cesm2_ssp245"
"ratio_of_sd",0.964475148246382,0.997123438604481,0.946823446630516,0.926309699619051,"cesm2_ssp245"
"amplitude_ratio_of_means",0.750094764186712,0.956117050680644,0.818430974864325,0.718625475170709,"cesm2_ssp245"
"maximum_error",0.440505173463177,0.126293365794279,0.256390748630554,0.268715763846622,"cesm2_ssp245"
"ks_mean_on_coarse_res_with_extremes",0.287318165346586,0.137317939489522,0.165450121654501,0.280614098214591,"cesm2_ssp245"
"qqplot_mae",1.25548184245086,1.48210391466688,1.54108010773564,1.80995124097258,"cesm2_ssp245"
"acf_mae",0.127605623250883,0.0344984738697513,0.0801887290844675,0.111799871283752,"cesm2_ssp245"
"extremogram_mae",0.0779635160321281,0.0412217965254581,0.0185901869051247,0.0401834265236648,"cesm2_ssp245"
