"Metric","lstm","naive","xgboost","cnn","sce"
"diff_of_means",-1.29902710784184,-4.31832085455219,5.56977206937847,-8.8579247225245,"cesm2_ssp585"
"ratio_of_sd",0.869623499436374,0.900562604628264,0.889928436551783,1.01050257229943,"cesm2_ssp585"
"amplitude_ratio_of_means",0.590141358652233,0.55098471597548,0.53346213501799,0.649338799214928,"cesm2_ssp585"
"maximum_error",0.347839318320146,0.314668289713938,0.267498478393183,0.367315885575167,"cesm2_ssp585"
"ks_mean_on_coarse_res_with_extremes",0.291666666666667,0.473770718709988,0.406826652122529,0.279019466474405,"cesm2_ssp585"
"rainy_hours_ratio_of_means",0.818703253338229,0.808244620611552,0.936735443901928,0.885854724194431,"cesm2_ssp585"
"qqplot_mae",0.0308649416350194,0.025551279712962,0.0173493780128526,0.0298605586333209,"cesm2_ssp585"
"acf_mae",0.114908761340426,0.154391539304719,0.116806913199212,0.0908165906016484,"cesm2_ssp585"
"extremogram_mae",0.0783231191885038,0.124163496759651,0.0943839814032122,0.078419977458439,"cesm2_ssp585"
