"Metric","naive","lstm","cnn","xgboost","sce"
"diff_of_means",-1.09813635031476,1.45463248795979,-5.26755697986003,7.53432929078268,"cesm2_ssp245"
"ratio_of_sd",0.83032297425243,0.809303659888511,0.916102265495386,0.856593739385487,"cesm2_ssp245"
"amplitude_ratio_of_means",0.538747415858404,0.581101318732666,0.631603358059344,0.528683446091799,"cesm2_ssp245"
"maximum_error",0.30158247108947,0.338709677419355,0.358490566037736,0.277236762020694,"cesm2_ssp245"
"ks_mean_on_coarse_res_with_extremes",0.586859305125555,0.333129926264937,0.323877876509453,0.435657364482012,"cesm2_ssp245"
"rainy_hours_ratio_of_means",0.815038143529307,0.832338122784102,0.892367710313093,0.951116797270644,"cesm2_ssp245"
"qqplot_mae",0.0290287670710552,0.0323241876575862,0.0275870567698589,0.0184224716304207,"cesm2_ssp245"
"acf_mae",0.152460961057836,0.111289143377798,0.0882941626439809,0.109849541834153,"cesm2_ssp245"
"extremogram_mae",0.108763031839955,0.0581677937447168,0.0572256269371654,0.0832716962524655,"cesm2_ssp245"
