"Metric","cnn","lstm","xgboost","naive","sce"
"diff_of_means",-0.838248907929889,1.36962882470319,1.53361456527196,1.5747086333106,"cesm2_ssp245"
"ratio_of_sd",0.98024260349882,0.969250800721421,0.909076521200671,0.913521633796457,"cesm2_ssp245"
"amplitude_ratio_of_means",0.816196175574973,0.778937936781801,0.608855738354749,0.640928971336749,"cesm2_ssp245"
"maximum_error",0.207547169811321,0.148356664637858,0.153530127814973,0.173463177115033,"cesm2_ssp245"
"ks_mean_on_coarse_res_with_extremes",0.195657801074225,0.178563031927398,0.34668940039784,0.323047251687559,"cesm2_ssp245"
"qqplot_mae",0.0477670124108249,0.0581067443881414,0.0934222436683979,0.103318950929146,"cesm2_ssp245"
"acf_mae",0.0872024896491426,0.093952024626649,0.1403756662041,0.126225289534937,"cesm2_ssp245"
"extremogram_mae",0.043418920822767,0.0337330938292477,0.0744840095801634,0.0654409692871231,"cesm2_ssp245"
