"Metric","xgboost","naive","lstm","cnn","sce"
"diff_of_means",-4.32658324286702,-4.50909421512883,-4.75379466948835,-6.87832574987074,"ec_earth3_ssp434"
"ratio_of_sd",0.970677938945184,0.989792718722445,1.02875560923769,1.05451380818767,"ec_earth3_ssp434"
"amplitude_ratio_of_means",0.63835772333165,0.664851764063147,0.804019585822171,0.848375014590649,"ec_earth3_ssp434"
"maximum_error",0.179853925745587,0.13527084601339,0.201308581862447,0.247717589774802,"ec_earth3_ssp434"
"ks_mean_on_coarse_res_with_extremes",0.40455049944506,0.387883358471593,0.273804680931846,0.263433617721897,"ec_earth3_ssp434"
"qqplot_mae",0.172738688768219,0.178274931072235,0.187982484903919,0.271942915515367,"ec_earth3_ssp434"
"acf_mae",0.132279184918956,0.128138944333105,0.0944295259481643,0.0952192698793997,"ec_earth3_ssp434"
"extremogram_mae",0.13457135812905,0.131225345167653,0.0928342490842491,0.0928430543815159,"ec_earth3_ssp434"
